13.10.2011	14:15	starting grid															
3215682304																	
time	x	theta	radius	set angle	yaw angle	pitch angle	Ptot	Pstat	Ma	Patm	yaw out of range	pitch out of range	P1	P2	P3	P4	P5
3215682197	0	0	30	0	-1.480115	2.524623	96201.8193	95801.05744	0.077248	96033.40785	0	0	96214.7664	96000.24025	95986.09656	95907.7316	96065.90788
3215682208	0	0	35.5	0	-4.816008	3.118405	96218.40837	95833.33537	0.07571	96034.16324	0	0	96228.54908	96078.20869	95994.40644	95904.54181	96072.8697
3215682219	0	0	41	0	-3.667032	1.906347	96255.05963	95805.37103	0.081818	96034.0033	0	0	96268.87908	96074.70483	96004.59129	95913.74522	96076.53042
3215682230	0	0	46.5	0	-2.663728	2.673884	96255.97607	95814.84969	0.081033	96034.53914	0	0	96269.62096	96051.84138	96007.73166	95925.15305	96104.24439
3215682241	0	0	52	0	-3.108975	2.537421	96264.00937	95807.59758	0.082425	96034.71657	0	0	96277.96123	96061.58157	96004.72728	95920.21768	96102.16697
3215682252	0	0	57.5	0	-5.717324	1.147261	96287.88731	95781.29306	0.086842	96034.4861	0	0	96301.95906	96108.60795	95971.95516	95916.63718	96079.42979
3215682264	0	0	63	0	-6.351286	1.303246	96271.81725	95792.10365	0.084506	96034.39589	0	0	96284.20333	96109.57434	95963.43637	95916.4165	96075.60535
3215682274	0	0	68.5	0	-4.978463	0.057532	96300.91079	95744.18028	0.091047	96034.93055	0	0	96318.15215	96087.53632	95959.39408	95921.80813	96064.42849
3215682286	0	0	74	0	-7.148205	0.139022	96289.97816	95770.61424	0.087933	96036.17966	0	0	96303.14757	96119.2282	95937.20873	95930.01902	96067.82138
3215682297	0	0	79.5	0	-7.315828	-0.675344	96321.88319	95768.01597	0.090802	96035.7511	0	0	96336.29739	96149.98857	95950.1041	95945.10148	96066.19299
3215682308	0	0	85	0	-10.440733	1.744928	96245.77902	95823.42697	0.079289	96036.25039	0	0	96248.85788	96138.49163	95914.04766	95922.47223	96076.5477
3215682319	0	0	90.5	0	-11.421193	-0.404688	96242.48357	95789.37956	0.082134	96034.53914	0	0	96245.3272	96147.64214	95879.76505	95916.64846	96025.545
3215682330	0	0	96	0	-10.073635	-0.072925	96207.9338	95806.93271	0.077268	96036.07297	0	0	96213.36063	96110.85236	95904.4524	95919.55538	96023.00485
3215682341	0	0	101.5	0	-10.521605	2.802878	96073.96208	95842.93064	0.058657	96035.85919	0	0	96074.82612	96007.07452	95883.81738	95896.61077	95995.37869
3215682352	0	0	107	0	-6.879429	0.021292	96072.46537	95823.00852	0.060955	96035.89435	0	0	96079.04156	95979.14577	95895.41674	95910.56516	95974.9186
3215682363	0	0	112.5	0	-0.948705	0.95446	96031.42854	95812.03212	0.057171	96037.51659	0	0	96039.01674	95916.23962	95914.48863	95884.90655	95950.77495
3215682413	0	1	30	0	-6.75549	3.461246	96156.55019	95893.61132	0.062556	96037.06618	0	0	96161.78572	96074.17564	95988.99484	95936.31874	96057.66008
3215682424	0	1	35.5	0	-4.984079	1.643724	96198.05983	95829.92898	0.074029	96037.05406	0	0	96208.61709	96065.99987	95981.81884	95917.61634	96046.14586
3215682435	0	1	41	0	-5.066014	2.759997	96224.35322	95784.19156	0.080957	96037.38169	0	0	96236.00553	96038.83624	95936.79667	95899.25135	96082.36184
3215682446	0	1	46.5	0	-4.919409	2.003312	96205.43585	95836.60094	0.074097	96036.31218	0	0	96215.84237	96055.42253	95972.55349	95936.77114	96073.3818
3215682457	0	1	52	0	-3.783516	2.364138	96237.43914	95838.25947	0.07708	96039.54832	0	0	96249.33839	96074.06229	96009.47936	95932.05298	96087.57784
3215682468	0	1	57.5	0	-5.099913	0.399742	96276.8698	95787.44274	0.085358	96040.61921	0	0	96291.68997	96095.90441	95980.15398	95932.43554	96067.66125
3215682479	0	1	63	0	-7.449244	1.004026	96270.14708	95789.206	0.084616	96039.19148	0	0	96281.14988	96118.33364	95942.30294	95918.71962	96070.8941
3215682490	0	1	68.5	0	-6.39274	0.600566	96273.29243	95759.85928	0.087435	96039.08797	0	0	96287.08988	96094.40277	95936.34447	95911.43901	96060.69018
3215682501	0	1	74	0	-6.273963	-0.048262	96235.01892	95810.35	0.079511	96038.54934	0	0	96246.97566	96084.27634	95956.00456	95947.08294	96054.41163
3215682513	0	1	79.5	0	-7.277085	0.955367	96291.28816	95754.32689	0.089415	96038.45259	0	0	96303.93783	96108.77504	95917.34539	95911.06614	96079.25475
3215682524	0	1	85	0	-9.931238	0.208432	96231.2084	95791.65221	0.080898	96037.23129	0	0	96237.24033	96123.70243	95901.21677	95910.86795	96031.36122
3215682535	0	1	90.5	0	-10.284522	2.779609	96172.63832	95850.09049	0.069293	96038.12854	0	0	96174.33528	96073.97795	95906.11766	95929.34559	96066.70986
